dob,firstName,height,id,lastName,nickname,positionGroupType
1993-02-09,Wataru,178.0,4928,Endo,Wataru Endo,M
1994-12-03,Tom,185.0,7654,Lockyer,Tom Lockyer,D
1997-01-16,Pau,191.0,1841,Torres,Pau Torres,D
1992-09-02,Emiliano,195.0,144,Martínez,Emiliano Martínez,GK
2000-08-02,Mohammed,177.0,8031,Kudus,Mohammed Kudus,M
1989-12-21,Cheikhou,189.0,474,Kouyaté,Cheikhou Kouyaté,D
1997-10-04,Nikola,178.0,6019,Vlasic,Nikola Vlasic,M
1997-05-14,Ruben,187.0,2066,Dias,Ruben Dias,D
1986-12-15,Keylor,185.0,3841,Navas,Keylor Navas,GK
1998-04-03,Wout,187.0,4112,Faes,Wout Faes,D
1999-11-10,Joao,181.0,1393,Felix,Joao Felix,F
1999-06-24,Darwin,187.0,8009,Nunez,Darwin Nunez,F
2000-10-22,Brenden,177.0,1067,Aaronson,Brenden Aaronson,M
1999-03-18,Diogo,183.0,127,Dalot,Diogo Dalot,D
2002-10-31,Ansu,178.0,1529,Fati,Ansu Fati,F
1998-11-05,Takehiro,188.0,2087,Tomiyasu,Takehiro Tomiyasu,D
2000-02-15,Jakub,189.0,12820,Kiwior,Jakub Kiwior,M
1994-08-10,Bernardo,173.0,27,Silva,Bernardo Silva,M
1994-05-27,João,182.0,17,Cancelo,João Cancelo,D
2000-01-31,Julian,170.0,10715,Alvarez,Julian Alvarez,CF
1999-02-14,Tyler,175.0,1339,Adams,Tyler Adams,M
1994-05-27,Aymeric,189.0,9,Laporte,Aymeric Laporte,D
1997-07-11,Rasmus,187.0,8099,Kristensen,Rasmus Kristensen,D
1990-10-24,Ilkay,180.0,20,Gündogan,Ilkay Gündogan,M
1993-04-24,Ben,181.0,71,Davies,Ben Davies,D
1997-11-05,Chris,190.0,286,Mepham,Chris Mepham,D
1999-04-17,Mohammed,188.0,1910,Salisu,Mohammed Salisu,D
1992-05-11,Pablo,174.0,3867,Sarabia,Pablo Sarabia,F
1994-01-15,Eric,188.0,74,Dier,Eric Dier,D
1989-02-02,Ivan,186.0,8136,Perisic,Ivan Perisic,M
1985-02-05,Cristiano,187.0,6020,Ronaldo,Cristiano Ronaldo,F
1997-08-07,Matthew,185.0,1896,Cash,Matty Cash,D
1997-08-27,Lucas,180.0,3930,Paquetá,Lucas Paquetá,F
1997-11-16,Bruno,182.0,3924,Guimaraes,Bruno Guimaraes,M
2001-12-20,Facundo,174.0,2075,Pellistri,Facundo Pellistri,F
1998-04-27,Cristian,185.0,5116,Romero,Cristian Romero,D
2001-08-16,Amadou,195.0,4498,Onana,Amadou Onana,M
1992-04-19,Nick,198.0,485,Pope,Nick Pope,GK
1999-01-14,Declan,188.0,265,Rice,Declan Rice,M
1996-05-31,Joachim,192.0,2073,Andersen,Joachim Andersen,D
1997-10-24,Edson,187.0,2106,Alvarez,Edson Alvarez,M
2001-01-17,Enzo,178.0,11856,Fernandez,Enzo Fernandez,M
1991-12-20,Fabian,186.0,320,Schär,Fabian Schär,D
1994-06-24,Matt,191.0,940,Turner,Matt Turner,GK
1995-07-09,Joao,190.0,8077,Palhinha,Joao Palhinha,M
1993-01-17,José,192.0,5131,Sá,José Sá,GK
1995-11-16,André Zambo,184.0,1977,Zambo,André Zambo Anguissa,M
1993-05-13,Romelu,191.0,5139,Lukaku,Romelu Lukaku,F
1995-09-10,Jack,180.0,371,Grealish,Jack Grealish,M
1996-04-02,Andre,190.0,8018,Onana,Andre Onana,GK
1995-12-05,Timothy,185.0,1960,Castagne,Timothy Castagne,D
1995-07-12,Luke,178.0,123,Shaw,Luke Shaw,D
1995-02-18,Nathan,180.0,284,Aké,Nathan Aké,D
1991-06-20,Kalidou,186.0,9993,Koulibaly,Kalidou Koulibaly,D
1987-10-05,Tim,186.0,1971,Ream,Tim Ream,D
1998-10-07,Trent,180.0,42,Alexander-Arnold,Trent Alexander-Arnold,D
1993-03-05,Frederico,169.0,132,Rodrigues de Paula Santos,Fred,M
1992-02-23,Carlos,185.0,1683,Casemiro,Casemiro,M
1990-06-17,Jordan,187.0,47,Henderson,Jordan Henderson,M
1998-08-28,Weston,185.0,1334,McKennie,Weston McKennie,M
1990-09-19,Kieran,173.0,1377,Trippier,Kieran Trippier,D
1997-11-18,Robert,197.0,1903,Sánchez,Robert Sánchez,GK
1998-01-18,Lisandro,175.0,8023,Martinez,Lisandro Martinez,D
1998-01-21,Pervis,175.0,1406,Estupinan,Pervis Estupinan,D
1992-07-08,Heung-min,184.0,83,Son,Heung-min Son,F
1994-03-07,Jordan,185.0,169,Pickford,Jordan Pickford,GK
1997-06-25,Rodrigo,187.0,7584,Bentancur,Rodrigo Bentancur,M
1997-08-08,Antonee,183.0,1973,Robinson,Antonee Robinson,D
1989-08-28,César,178.0,96,Azpilicueta,César Azpilicueta,D
1993-08-17,Ederson,188.0,6,Santana de Moraes,Ederson,GK
1992-10-02,Alisson,193.0,32,Ramses Becker,Alisson,GK
1996-04-12,Jan,189.0,385,Bednarek,Jan Bednarek,D
1993-10-23,Fabio,188.0,44,Henrique Tavares,Fabinho,M
1993-09-06,Saman,175.0,5070,Ghoddos,Saman Ghoddos,F
2001-03-24,William,192.0,1895,Saliba,William Saliba,D
1986-12-26,Hugo,188.0,61,Lloris,Hugo Lloris,GK
1999-08-17,Tyrell,169.0,10703,Malacia,Tyrell Malacia,LB
1992-06-23,Nampalys,167.0,214,Mendy,Nampalys Mendy,M
1994-05-28,John,188.0,10,Stones,John Stones,D
1998-08-27,Matheus,183.0,8079,Nunes,Matheus Nunes,M
1994-03-10,Christian,187.0,5065,Nörgaard,Christian Nörgaard,M
1989-09-26,Idrissa,174.0,3858,Gueye,Idrissa Gueye,M
1996-03-30,Nayef,190.0,4002,Aguerd,Nayef Aguerd,D
1999-05-07,Cody,193.0,11094,Gakpo,Cody Gakpo,F
1991-06-28,Kevin,181.0,22,De Bruyne,Kevin De Bruyne,M
1997-10-08,Ben,186.0,1916,White,Ben White,D
1991-07-08,Virgil,193.0,37,van Dijk,Virgil van Dijk,D
2001-12-11,Armel,190.0,4630,Bella-Kotchap,Armel Bella-Kotchap,D
1996-01-01,Mathias,180.0,5063,Jensen,Mathias Jensen,M
1990-05-28,Kyle,183.0,16,Walker,Kyle Walker,D
1995-09-15,David,183.0,5048,Raya,David Raya,GK
1989-12-17,Andre,175.0,14040,Ayew,Andre Ayew,F
1993-02-27,Alphonse,195.0,1965,Areola,Alphonse Areola,GK
1984-09-22,Thiago,181.0,1926,Silva,Thiago Silva,D
1995-12-02,Kalvin,179.0,2005,Phillips,Kalvin Phillips,M
2002-09-14,Pape,184.0,4152,Sarr,Pape Sarr,M
1992-03-01,Edouard,194.0,2059,Mendy,Edouard Mendy,GK
1993-02-25,Conor,185.0,231,Coady,Conor Coady,D
1993-06-22,Danny,191.0,201,Ward,Danny Ward,GK
1993-06-13,Thomas,185.0,1380,Partey,Thomas Partey,M
2000-02-24,Antony,172.0,8039,Matheus dos Santos,Antony,F
1997-05-20,Kaoru,178.0,10704,Mitoma,Kaoru Mitoma,LW
1994-09-16,Aleksandar,189.0,1991,Mitrovic,Aleksandar Mitrovic,F
2002-02-15,Kamaldeen,175.0,4020,Sulemana,Kamaldeen Sulemana,F
1995-07-19,Manuel,188.0,4661,Akanji,Manuel Akanji,D
1994-12-21,Daniel,186.0,213,Amartey,Daniel Amartey,D
1997-03-13,Rúben,180.0,240,Neves,Rúben Neves,M
1996-06-22,Rodrigo,191.0,18,Hernández Cascante,Rodri,M
1995-01-16,Takumi,172.0,55,Minamino,Takumi Minamino,F
1987-02-14,Edinson,184.0,2077,Cavani,Edinson Cavani,CF
1997-05-07,Youri,176.0,215,Tielemans,Youri Tielemans,M
1992-04-15,Remo,180.0,8328,Freuler,Remo Freuler,M
2000-01-07,Antoine,185.0,7192,Semenyo,Antoine Semenyo,F
1997-03-22,Harry,173.0,308,Wilson,Harry Wilson,F
1995-08-05,Pierre-Emile,185.0,395,Höjbjerg,Pierre-Emile Höjbjerg,M
2002-05-27,Jeremy,173.0,4021,Doku,Jeremy Doku,F
1999-05-25,Ibrahima,194.0,5097,Konaté,Ibrahima Konaté,D
1997-01-01,Gonzalo,175.0,8419,Montiel,Gonzalo Montiel,D
1992-07-17,Adam,185.0,6930,Davies,Adam Davies,GK
1993-04-25,Raphael,191.0,1675,Varane,Raphael Varane,D
2001-05-23,Brennan,179.0,7008,Johnson,Brennan Johnson,M
1996-08-21,Sofyan,185.0,12586,Amrabat,Sofyan Amrabat,M
2001-11-02,Moises,178.0,2134,Caicedo,Moises Caicedo,M
1993-03-05,Harry,194.0,118,Maguire,Harry Maguire,D
1998-05-14,Aaron,190.0,281,Ramsdale,Aaron Ramsdale,GK
2001-04-13,Neco,183.0,589,Williams,Neco Williams,D
2003-01-21,Hannibal,177.0,3263,Mejbri,Hannibal Mejbri,M
2001-06-20,Nicolas,188.0,13055,Jackson,Nicolas Jackson,F
1996-08-13,Saša,183.0,12664,Lukić,Saša Lukić,M
2001-03-16,Anis,188.0,14030,Slimane,Anis Slimane,M
1992-08-08,Kieffer,196.0,7966,Moore,Kieffer Moore,F
1996-09-21,Thilo,186.0,3849,Kehrer,Thilo Kehrer,D
1994-05-06,Mateo,177.0,100,Kovacic,Mateo Kovacic,M
1997-10-31,Marcus,185.0,136,Rashford,Marcus Rashford,F
1989-07-16,Gareth,186.0,1698,Bale,Gareth Bale,F
2000-02-29,Ferran,182.0,1950,Torres Garcia,Ferran Torres,F
2000-02-06,Conor,182.0,2052,Gallagher,Conor Gallagher,M
1997-10-08,Steven,178.0,84,Bergwijn,Steven Bergwijn,F
1993-08-11,Alireza,181.0,457,Jahanbakhsh,Alireza Jahanbakhsh,F
1998-09-18,Christian,177.0,107,Pulisic,Christian Pulisic,F
1992-02-14,Christian,182.0,7443,Eriksen,Christian Eriksen,M
1996-11-20,Denis,190.0,4703,Zakaria,Denis Zakaria,M
1998-12-24,Alexis,174.0,453,MacAllister,Alexis MacAllister,F
1995-04-15,Leander,188.0,241,Dendoncker,Leander Dendoncker,M
2000-05-28,Phil,171.0,21,Foden,Phil Foden,M
1993-03-19,Hakim,181.0,1938,Ziyech,Hakim Ziyech,F
1993-07-28,Harry,188.0,1,Kane,Harry Kane,CF
1996-01-26,Hee-chan,177.0,4915,Hwang,Hee-chan Hwang,F
1994-09-08,Bruno,179.0,133,Fernandes,Bruno Fernandes,M
2000-09-30,Tariq,163.0,444,Lamptey,Tariq Lamptey,D
1992-08-07,Wout,197.0,5009,Weghorst,Wout Weghorst,F
1997-11-10,Daniel,171.0,137,James,Daniel James,F
1999-06-11,Kai,193.0,1937,Havertz,Kai Havertz,M
2002-06-16,Jeremy,178.0,6596,Sarmiento,Jeremy Sarmiento,F
1996-11-23,James,175.0,220,Maddison,James Maddison,M
1999-01-10,Mason,181.0,105,Mount,Mason Mount,M
1999-08-07,Bryan,171.0,5074,Mbeumo,Bryan Mbeumo,F
1991-05-05,Raúl,188.0,252,Jiménez,Raúl Jiménez,F
1991-09-11,Jordan,182.0,483,Ayew,Jordan Ayew,F
2001-09-05,Bukayo,178.0,163,Saka,Bukayo Saka,M
1997-05-10,Richarlison,184.0,195,de Andrade,Richarlison,F
2001-06-18,Gabriel,178.0,162,Martinelli,Gabriel Martinelli,F
1998-02-25,Ismaïla,185.0,428,Sarr,Ismaïla Sarr,F
1994-12-08,Raheem,170.0,25,Sterling,Raheem Sterling,F
2000-07-03,Mikkel,180.0,12779,Damsgaard,Mikkel Damsgaard,F
1994-12-04,Leandro,172.0,455,Trossard,Leandro Trossard,F
1996-12-14,Raphael,176.0,2074,Dias Belloli,Raphinha,M
1992-02-27,Callum,180.0,311,Wilson,Callum Wilson,F
1997-04-03,Gabriel,175.0,30,Jesus,Gabriel Jesus,F
2000-02-20,Josh,185.0,5135,Sargent,Josh Sargent,F
1994-03-07,Jordan,185.0,169,Pickford,Jordan Pickford,GK
1992-02-03,Daniel,197.0,2086,Schmidt,Daniel Schmidt,GK
1990-09-19,Kieran,173.0,1377,Trippier,Kieran Trippier,D
1998-11-05,Takehiro,188.0,2087,Tomiyasu,Takehiro Tomiyasu,D
1993-03-05,Harry,194.0,118,Maguire,Harry Maguire,D
1988-08-24,Maya,189.0,2088,Yoshida,Maya Yoshida,D
1990-04-12,Hiroki,185.0,2090,Sakai,Hiroki Sakai,D
1992-05-28,Gaku,174.0,2092,Shibasaki,Gaku Shibasaki,M
1994-12-08,Raheem,170.0,25,Sterling,Raheem Sterling,F
1993-03-09,Junya,176.0,2094,Ito,Junya Ito,M
1993-07-28,Harry,188.0,1,Kane,Harry Kane,CF
1996-08-05,Daichi,184.0,2095,Kamada,Daichi Kamada,M
1992-02-27,Callum,180.0,311,Wilson,Callum Wilson,F
1990-05-28,Kyle,183.0,16,Walker,Kyle Walker,D
1995-01-16,Takumi,172.0,55,Minamino,Takumi Minamino,F
1997-10-31,Marcus,185.0,136,Rashford,Marcus Rashford,F
1994-11-10,Takuma,173.0,2099,Asano,Takuma Asano,F
1998-10-07,Trent,180.0,42,Alexander-Arnold,Trent Alexander-Arnold,D
1994-01-15,Eric,188.0,74,Dier,Eric Dier,D
2001-06-04,Takefusa,173.0,1860,Kubo,Takefusa Kubo,F
1990-06-17,Jordan,187.0,47,Henderson,Jordan Henderson,M
1993-07-09,DeAndre,173.0,328,Yedlin,DeAndre Yedlin,D
1991-08-29,Nestor,188.0,1452,Araujo,Nestor Araujo,RCB
1988-07-16,Sergio,189.0,1519,Busquets,Sergio Busquets,M
1995-06-05,Luis,184.0,2104,Romo,Luis Romo,DM
1998-08-28,Weston,185.0,1334,McKennie,Weston McKennie,M
1998-09-18,Christian,177.0,107,Pulisic,Christian Pulisic,F
1996-01-21,Marco,182.0,1696,Asensio,Marco Asensio,F
1991-05-05,Raúl,188.0,252,Jiménez,Raúl Jiménez,F
1992-10-23,Alvaro,189.0,1394,Morata,Alvaro Morata,F
2000-02-22,Timothy,183.0,1336,Weah,Timothy Weah,F
1995-07-30,Hirving,175.0,2111,Lozano,Hirving Lozano,F
1997-10-24,Edson,187.0,2106,Alvarez,Edson Alvarez,M
1999-02-14,Tyler,175.0,1339,Adams,Tyler Adams,M
1997-08-21,Uriel,174.0,2108,Antuna,Uriel Antuna,RW
1996-11-02,Shaquell,180.0,1340,Moore,Shaq Moore,RB
1995-07-24,Kellyn,177.0,687,Acosta,Kellyn Acosta,M
1998-09-07,Roberto,176.0,2110,Alvarado,Roberto Alvarado,RW
1997-11-25,Derek,188.0,1249,Cornelius,Derek Cornelius,D
1992-07-08,Francisco,180.0,649,Calvo,Francisco Calvo,D
1994-06-24,Matt,191.0,940,Turner,Matt Turner,GK
1995-01-16,Sam,176.0,12315,Adekugbe,Sam Adekugbe,D
1988-07-16,Sergio,189.0,1519,Busquets,Sergio Busquets,M
1997-08-15,Olivier,178.0,1058,Mbaizo,Olivier Mbaizo,D
1990-06-05,Junior,174.0,6916,Hoilett,Junior Hoilett,F
1988-08-24,Maya,189.0,2088,Yoshida,Maya Yoshida,D
1997-04-26,Jhegson,170.0,1034,Méndez,Jhegson Méndez,M
1987-06-24,Lionel,170.0,1531,Messi,Lionel Messi,F
1994-11-12,Samuel,171.0,898,Piette,Samuel Piette,M
1989-07-16,Gareth,186.0,1698,Bale,Gareth Bale,F
1990-02-18,Bryan,172.0,13371,Oviedo,Bryan Oviedo,LB
1992-06-12,Jonathan,175.0,1228,Osorio,Jonathan Osorio,M
1999-02-08,Tajon,183.0,963,Buchanan,Tajon Buchanan,F
1996-04-07,Michael,187.0,3519,Estrada,Michael Estrada,F
2002-06-16,Ismael,188.0,5173,Kone,Ismael Kone,M
1994-04-28,Milos,187.0,7478,Degenek,Milos Degenek,D
2000-12-24,Jesús,175.0,802,Ferreira,Jesús Ferreira,F
1999-07-12,Diego,169.0,1279,Palacios,Diego Palacios,D
1987-04-07,Martín,180.0,13462,Cáceres,Martín Cáceres,RCB
1994-12-02,Mark-Anthony,185.0,1289,Kaye,Mark-Anthony Kaye,M
1999-03-12,José,178.0,1287,Cifuentes,José Cifuentes,M
1997-05-09,Dayne,191.0,861,St Clair,Dayne St Clair,GK
1996-11-02,Shaquell,180.0,1340,Moore,Shaq Moore,RB
1989-03-21,Jordi,170.0,1513,Alba,Jordi Alba,D
1998-02-13,Liam,185.0,1226,Fraser,Liam Fraser,M
1993-07-09,DeAndre,173.0,328,Yedlin,DeAndre Yedlin,D
2001-04-26,Thiago,171.0,7757,Almada,Thiago Almada,M
1992-10-12,Aaron,186.0,997,Long,Aaron Long,D
1995-01-07,Richie,175.0,1225,Laryea,Richie Laryea,D
1992-12-28,Lucas,182.0,1267,Cavallini,Lucas Cavallini,CF
1995-04-12,Przemyslaw,175.0,668,Frankowski,Przemyslaw Frankowski,F
1989-05-31,Sean,190.0,968,Johnson,Sean Johnson,GK
1991-10-10,Xherdan,169.0,57,Shaqiri,Xherdan Shaqiri,M
1998-10-08,Alistair,180.0,926,Johnston,Alistair Johnston,D
1995-04-19,Carlos,172.0,4560,Gruezo,Carlos Gruezo,M
1990-04-19,Hector,180.0,1384,Herrera,Hector Herrera,M
1997-01-23,Karol,184.0,7535,Swiderski,Karol Swiderski,F
1995-07-24,Kellyn,177.0,687,Acosta,Kellyn Acosta,M
1997-02-21,James,191.0,2368,Pantemis,James Pantemis,GK
1994-10-26,Jordan,181.0,1184,Morris,Jordan Morris,F
1995-06-03,Cristian,173.0,1174,Roldán,Cristian Roldán,M
1997-05-16,Kamal,183.0,1025,Miller,Kamal Miller,D
1998-08-21,Alan,175.0,7571,Franco,Alan Franco,M
2000-04-13,Facundo,177.0,7469,Torres,Facundo Torres,F
1995-08-01,Moon-hwan,173.0,2443,Kim,Moon-hwan Kim,D
1997-06-23,Nouhou,178.0,1168,Tolo,Nouhou Tolo,D
1993-05-19,Walker,190.0,916,Zimmerman,Walker Zimmerman,D
1996-01-24,Joel,188.0,888,Waterman,Joel Waterman,D
1994-07-09,Ronald,175.0,975,Matarrita,Ronald Matarrita,D
1994-09-28,Xavier,184.0,1166,Arreaga,Xavier Arreaga,D
1996-02-15,Nemanja,185.0,3989,Radonjic,Nemanja Radonjic,F
1996-01-18,Ivo,195.0,5199,Grbic,Ivo Grbic,GK
1995-10-31,Predrag,192.0,4109,Rajkovic,Predrag Rajkovic,GK
1994-01-10,Jonas,190.0,4056,Omlin,Jonas Omlin,GK
1999-04-17,Mohammed,188.0,1910,Salisu,Mohammed Salisu,D
2002-11-10,Eduardo,182.0,4012,Camavinga,Eduardo Camavinga,M
2003-04-21,Xavi,179.0,3861,Simons,Xavi Simons,M
1989-12-17,Andre,175.0,14040,Ayew,Andre Ayew,F
2001-05-24,Strahinja,194.0,3880,Pavlovic,Strahinja Pavlovic,D
2001-02-19,Kang-in,173.0,1830,Lee,Kang-in Lee,M
1998-04-03,Wout,187.0,4112,Faes,Wout Faes,D
1996-09-21,Thilo,186.0,3849,Kehrer,Thilo Kehrer,D
2002-06-19,Nuno,183.0,6038,Mendes,Nuno Mendes,D
1999-03-11,Enzo,185.0,4316,Ebosse,Enzo Ebosse,D
1995-06-19,Dylan,186.0,4142,Bronn,Dylan Bronn,D
1996-03-30,Nayef,190.0,4002,Aguerd,Nayef Aguerd,D
2001-03-24,William,192.0,1895,Saliba,William Saliba,D
2001-08-16,Amadou,195.0,4498,Onana,Amadou Onana,M
1996-05-04,Abdou,187.0,3848,Diallo,Abdou Diallo,D
1994-06-29,Leandro,180.0,3856,Paredes,Leandro Paredes,M
1989-07-05,Dejan,188.0,40,Lovren,Dejan Lovren,D
1996-02-14,Lucas,184.0,4607,Hernández,Lucas Hernández,D
1998-02-04,Eray,183.0,13118,Comert,Eray Comert,D
1997-11-16,Bruno,182.0,3924,Guimaraes,Bruno Guimaraes,M
2000-01-27,Aurélien,188.0,3888,Tchouaméni,Aurélien Tchouaméni,M
1989-09-26,Idrissa,174.0,3858,Gueye,Idrissa Gueye,M
1983-03-20,Eiji,185.0,4230,Kawashima,Eiji Kawashima,GK
2000-02-13,Vitor,172.0,1907,Machado Ferrira,Vitinha,M
1986-12-15,Keylor,185.0,3841,Navas,Keylor Navas,GK
2001-06-20,Goncalo,185.0,8008,Ramos,Goncalo Ramos,F
1998-04-02,Philipp,190.0,8089,Kohn,Philipp Kohn,GK
1993-09-05,Alfred,196.0,3998,Gomis,Alfred Gomis,GK
1996-01-21,Marco,182.0,1696,Asensio,Marco Asensio,F
1994-02-28,Arkadiusz,186.0,3994,Milik,Arkadiusz Milik,F
2000-04-19,Azzedine,182.0,4324,Ounahi,Azzedine Ounahi,M
2000-03-26,Salis Abdul,179.0,4408,Samed,Salis Abdul Samed,M
1997-10-22,Joe,193.0,2083,Rodon,Joe Rodon,D
2003-04-12,Simon,186.0,3970,Ngapandouetnbu,Simon Ngapandouetnbu,GK
1993-03-01,Jordan,177.0,10756,Veretout,Jordan Veretout,CM
2000-02-18,Zakaria,179.0,9865,Aboukhlal,Zakaria Aboukhlal,F
1998-03-11,Axel,190.0,3878,Disasi,Axel Disasi,D
1990-12-26,Aaron,178.0,8062,Ramsey,Aaron Ramsey,M
1998-02-25,Ismaïla,185.0,428,Sarr,Ismaïla Sarr,F
1997-05-15,Ousmane,178.0,1532,Dembele,Ousmane Dembele,F
1999-05-06,Achraf,188.0,9820,Dari,Achraf Dari,D
2000-03-06,Iliman,180.0,2144,Ndiaye,Iliman Ndiaye,M
1996-11-20,Denis,190.0,4703,Zakaria,Denis Zakaria,M
2001-09-18,Christopher,191.0,4207,Wooh,Christopher Wooh,D
1995-01-26,Jean-Charles,186.0,4174,Castelletto,Jean-Charles Castelletto,D
2001-04-11,Manuel,182.0,8078,Ugarte,Manuel Ugarte,M
1999-01-10,Youssouf,185.0,3890,Fofana,Youssouf Fofana,M
2002-05-27,Jeremy,173.0,4021,Doku,Jeremy Doku,F
1992-06-23,Nampalys,167.0,214,Mendy,Nampalys Mendy,M
2002-09-14,Pape,184.0,4152,Sarr,Pape Sarr,M
1998-12-20,Kylian,178.0,3870,Mbappé,Kylian Mbappé,F
1992-02-05,Neymar,175.0,3865,da Silva Santos Junior,Neymar,F
2000-06-04,Alidu,173.0,4404,Seidu,Alidu Seidu,D
1987-06-24,Lionel,170.0,1531,Messi,Lionel Messi,F
1991-02-08,Wahbi,176.0,4105,Khazri,Wahbi Khazri,F
1992-05-11,Pablo,174.0,3867,Sarabia,Pablo Sarabia,F
2000-02-16,Lois,177.0,9806,Openda,Lois Openda,F
1998-11-04,Achraf,181.0,1681,Hakimi,Achraf Hakimi,D
1997-02-11,Mateusz,187.0,9871,Wieteska,Mateusz Wieteska,D
1992-08-31,Nicolas,172.0,8025,Tagliafico,Nicolas Tagliafico,D
1994-08-09,Alexander,182.0,4231,Djiku,Alexander Djiku,D
1995-04-12,Przemyslaw,175.0,668,Frankowski,Przemyslaw Frankowski,F
1997-02-14,Breel,187.0,4717,Embolo,Breel Embolo,F
1998-05-26,Montassar,190.0,9824,Talbi,Montassar Talbi,D
1999-01-24,Pape,189.0,3978,Gueye,Pape Gueye,M
2000-05-25,Arthur,185.0,9796,Theate,Arthur Theate,D
1998-07-18,Gideon,178.0,4265,Mensah,Gideon Mensah,D
1994-05-14,Marcos Aoas,183.0,3846,Corréa,Marquinhos,D
1986-11-05,Kasper,189.0,200,Schmeichel,Kasper Schmeichel,GK
2000-02-22,Timothy,183.0,1336,Weah,Timothy Weah,F
1998-01-17,Lovro,178.0,5968,Majer,Lovro Majer,M
2000-03-23,Bamba,178.0,3996,Dieng,Bamba Dieng,F
1999-08-17,Ismail,184.0,3895,Jakobs,Ismail Jakobs,M
2000-08-04,Jackson,192.0,9837,Porozo,Jackson Porozo,D
1985-03-28,Steve,187.0,3968,Mandanda,Steve Mandanda,GK
1995-01-16,Takumi,172.0,55,Minamino,Takumi Minamino,F
1991-09-09,Danilo,188.0,3857,Pereira,Danilo Pereira,M
1997-01-02,Carlos,180.0,1829,Soler,Carlos Soler,M
1999-02-25,Krepin,175.0,3903,Diatta,Krepin Diatta,F
1993-03-09,Junya,176.0,2094,Ito,Junya Ito,M
2002-02-16,Fabian,181.0,8397,Rieder,Fabian Rieder,M
1999-04-14,Mattéo,185.0,158,Guendouzi,Mattéo Guendouzi,M
2001-01-02,Formose,191.0,9545,Mendy,Formose Mendy,D
1998-12-05,Randal Kolo,187.0,4194,Muani,Randal Kolo Muani,F
1992-09-14,Karl Toko,182.0,3934,Ekambi,Karl Toko Ekambi,F
2002-02-15,Kamaldeen,175.0,4020,Sulemana,Kamaldeen Sulemana,F
1998-09-21,Iké,184.0,7575,Ugbo,Iké Ugbo,F
1997-08-27,Lucas,180.0,3930,Paquetá,Lucas Paquetá,F
1988-02-14,Angel Di,180.0,3868,Maria,Angel Di Maria,F
1993-09-17,Sofiane,175.0,401,Boufal,Sofiane Boufal,F
1998-12-13,Osman,170.0,5178,Bukari,Osman Bukari,F
1991-10-10,Xherdan,169.0,57,Shaqiri,Xherdan Shaqiri,M
2000-01-14,Jonathan,175.0,3965,David,Jonathan David,F
1992-08-28,Ui-jo,185.0,4280,Hwang,Ui-jo Hwang,F
